,truthfulness
truthfulness,1.0
a_stopword_pw,0.12720036036825683
a_aux_pw,0.1218495410383002
a_aux_ps,0.1172306419074751
a_bry_pw,0.10334789783309904
n_aux,0.10079702757704961
a_subtlex_us_zipf_pw,0.09862664690394579
a_part_pw,0.0870656566841779
a_kup_pw,0.08699233976036298
a_pron_pw,0.08336103008607802
a_cconj_pw,0.07939279786455859
n_upron,0.07557526774068021
a_verb_pw,0.07400664681453949
n_uaux,0.0734922635732473
a_sconj_pw,0.07272819521881668
simp_cconj_var,0.07203814198045178
n_part,0.07147750195519965
t_stopword,0.07018179234580513
corr_aux_var,0.07012939469840071
root_aux_var,0.07011755137346891
root_cconj_var,0.06981206244269007
corr_cconj_var,0.06981020121000994
simp_aux_var,0.06714424377927847
a_n_ent_fac_pw,0.06679005125986877
t_bry,0.06568995414705288
n_ucconj,0.06562300720208762
a_part_ps,0.06264962032276689
a_stopword_ps,0.06264513303715688
a_bry_ps,0.06256498599994523
n_pron,0.06242635272566251
t_syll3,0.06154615204354506
a_n_ent_fac_ps,0.061082374930567875
corr_pron_var,0.060716491162131736
root_pron_var,0.06070568381622706
t_kup,0.055451465293645
t_n_ent_fac,0.05458605596888324
t_subtlex_us_zipf,0.052766931448555536
smog,0.05214435241800001
n_upart,0.05200923141071667
a_kup_ps,0.05194545444562597
n_verb,0.05135678410700264
a_n_ent_language_ps,0.04923754252305021
n_adj,0.04923605504146317
a_sconj_ps,0.048965472994662626
simp_sconj_var,0.04783448191433145
n_cconj,0.04736019525965247
a_n_ent_language_pw,0.04635216091113307
t_n_ent_language,0.04590986168216965
a_cconj_ps,0.04486795369725442
simp_pron_var,0.04471798543528407
a_adj_ps,0.04274994741546383
a_subtlex_us_zipf_ps,0.04255593905481914
corr_part_var,0.041067650756275664
root_part_var,0.041056886363806396
root_sconj_var,0.040979147506689996
corr_sconj_var,0.04096992442643702
n_sconj,0.04039716055834342
simp_verb_var,0.03986798950441733
a_syll_pw,0.03625300549038113
simp_part_var,0.03486235414621592
fkgl,0.03426448824134378
a_verb_ps,0.03217463333294782
n_usconj,0.03179844581158895
t_word,0.031050543726797157
rt_slow,0.03098215998955007
rt_fast,0.03095787052095195
rt_average,0.030684826244958236
t_syll,0.03060380535556872
root_verb_var,0.02969569666055239
corr_verb_var,0.029688867448221093
a_pron_ps,0.028109628634678287
a_intj_ps,0.026677647080706236
t_char,0.026502566200774357
a_n_ent_quantity_pw,0.026064015455884
corr_space_var,0.024378666725406676
simp_space_var,0.024378666725406034
n_space,0.024378666725406034
n_uspace,0.024378666725406034
root_space_var,0.024378666725406034
cole,0.024125861388046645
a_syll_ps,0.023940962401515598
a_adp_pw,0.023696906721664798
a_char_pw,0.023065680887075307
a_intj_pw,0.022492571582111775
auto,0.022322856147460622
t_sent,0.021196030399468463
a_adp_ps,0.021168964207996393
n_uverb,0.01959028109754842
a_n_ent_loc_pw,0.019411508216488436
a_adj_pw,0.01935314201657512
n_noun,0.019081124517015578
a_noun_ps,0.01904503366481375
t_n_ent_loc,0.018769601419609205
t_n_ent_quantity,0.018626279880168833
a_n_ent_quantity_ps,0.018626279880168115
a_n_ent_org_pw,0.018399433929826584
n_adp,0.018080796282958687
corr_intj_var,0.017580890330536007
n_uintj,0.017580890330535816
simp_intj_var,0.017580890330535816
root_intj_var,0.017580890330535816
n_intj,0.017580890330535816
a_char_ps,0.016809131206985132
fogi,0.016087538967252752
n_adv,0.015008454911481197
a_n_ent_loc_ps,0.013292662833611352
a_adv_ps,0.012746754552075506
a_word_ps,0.012479075639710239
a_n_ent_org_ps,0.008494950343221369
simp_det_var,0.0077256408880747455
n_punct,0.0046429111344186485
a_noun_pw,-0.0004087175779248285
t_punct,-0.0028685308866256264
t_n_ent_org,-0.0035044751447538846
t_syll2,-0.005617354840026272
a_space_ps,-0.006691096888263128
a_n_ent_art_ps,-0.011338008173854533
n_det,-0.012406687893337062
a_det_ps,-0.014784783224324407
a_adv_pw,-0.016271706709438987
a_punct_ps,-0.017225424943538157
simp_adp_var,-0.01768133672570551
a_n_ent_art_pw,-0.01856866747046531
a_n_ent_time_pw,-0.02015655140273283
corr_det_var,-0.02137801399596251
root_det_var,-0.021380846869810725
a_space_pw,-0.02302462721514569
t_n_ent_time,-0.02319591729709587
a_n_ent_time_ps,-0.02383853349087031
t_n_ent_art,-0.0241707294701735
a_n_ent_product_ps,-0.024378666725406947
t_n_ent_product,-0.024378666725406947
t_n_ent_law,-0.02437866672540697
a_n_ent_law_pw,-0.024378666725407137
a_n_ent_law_ps,-0.02437866672540726
a_n_ent_product_pw,-0.02437866672540732
n_uadj,-0.026499158118178025
a_n_ent_norp_pw,-0.03031535195568485
corr_adp_var,-0.031038393512018276
root_adp_var,-0.031046429751642915
fkre,-0.035945001113093226
n_uadp,-0.036865630037511754
a_n_ent_event_pw,-0.03690028903737203
a_n_ent_date_pw,-0.03781345709860844
n_unoun,-0.038224552559974874
a_n_ent_norp_ps,-0.040534550035251
a_n_ent_date_ps,-0.04061526783442289
t_n_ent_norp,-0.04091306758164406
a_det_pw,-0.0416063759305665
n_udet,-0.04249170285634026
a_n_ent_money_pw,-0.04467672881153178
a_n_ent_percent_pw,-0.04467672881153178
a_n_ent_event_ps,-0.04641817387964614
simp_punct_var,-0.047228622282323655
n_uadv,-0.04728430105657602
t_n_ent_date,-0.04748139600136982
a_n_ent_percent_ps,-0.04795892386309083
a_n_ent_money_ps,-0.04795892386309083
a_n_ent_ordinal_pw,-0.04823227878204804
t_n_ent_event,-0.048568185121715304
t_n_ent_money,-0.04884798862692389
t_n_ent_percent,-0.04884798862692389
a_punct_pw,-0.049726325271490526
root_adj_var,-0.05057430957321078
corr_adj_var,-0.05057993721460756
t_n_ent_ordinal,-0.055754631363756996
simp_num_var,-0.056075185008884844
corr_noun_var,-0.056930434816297025
root_noun_var,-0.0569536192995538
simp_noun_var,-0.05766687610501637
a_sym_pw,-0.058309214762193834
corr_adv_var,-0.058363826044795904
root_adv_var,-0.05837871896613611
a_sym_ps,-0.05869985632386695
t_uword,-0.059885673776375194
corr_sym_var,-0.05990068818086621
n_sym,-0.05990068818086671
n_usym,-0.05990068818086671
root_sym_var,-0.05990068818086671
simp_sym_var,-0.05990068818086671
simp_adj_var,-0.06067145959438261
simp_ttr_no_lem,-0.061329462829822705
simp_ttr,-0.061329462829822705
a_n_ent_ordinal_ps,-0.061826831009668515
simp_adv_var,-0.06455377937282461
a_n_ent_cardinal_pw,-0.0647800429261382
root_num_var,-0.06725142191381625
corr_num_var,-0.0672608468265132
t_n_ent_gpe,-0.07505157472887261
t_n_ent_cardinal,-0.07561245367753604
a_num_pw,-0.07566443521022762
n_unum,-0.07655585756522705
a_n_ent_gpe_ps,-0.07672096356017183
a_n_ent_cardinal_ps,-0.07738981346610155
a_num_ps,-0.07837707880300156
n_num,-0.0788666495834236
bilog_ttr_no_lem,-0.07928395854193461
bilog_ttr,-0.07928395854193461
a_n_ent_gpe_pw,-0.07931450424154061
root_ttr_no_lem,-0.08517366518599236
