t_word,t_stopword,t_punct,t_syll,t_syll2,t_syll3,t_uword,t_sent,t_char,a_word_ps,a_char_ps,a_char_pw,a_syll_ps,a_syll_pw,a_stopword_ps,a_stopword_pw,t_kup,t_bry,t_subtlex_us_zipf,a_kup_pw,a_bry_pw,a_kup_ps,a_bry_ps,a_subtlex_us_zipf_pw,a_subtlex_us_zipf_ps,t_n_ent,t_n_ent_person,t_n_ent_norp,t_n_ent_fac,t_n_ent_org,t_n_ent_gpe,t_n_ent_loc,t_n_ent_product,t_n_ent_event,t_n_ent_art,t_n_ent_law,t_n_ent_language,t_n_ent_date,t_n_ent_time,t_n_ent_percent,t_n_ent_money,t_n_ent_quantity,t_n_ent_ordinal,t_n_ent_cardinal,a_n_ent_pw,a_n_ent_person_pw,a_n_ent_norp_pw,a_n_ent_fac_pw,a_n_ent_org_pw,a_n_ent_gpe_pw,a_n_ent_loc_pw,a_n_ent_product_pw,a_n_ent_event_pw,a_n_ent_art_pw,a_n_ent_law_pw,a_n_ent_language_pw,a_n_ent_date_pw,a_n_ent_time_pw,a_n_ent_percent_pw,a_n_ent_money_pw,a_n_ent_quantity_pw,a_n_ent_ordinal_pw,a_n_ent_cardinal_pw,a_n_ent_ps,a_n_ent_person_ps,a_n_ent_norp_ps,a_n_ent_fac_ps,a_n_ent_org_ps,a_n_ent_gpe_ps,a_n_ent_loc_ps,a_n_ent_product_ps,a_n_ent_event_ps,a_n_ent_art_ps,a_n_ent_law_ps,a_n_ent_language_ps,a_n_ent_date_ps,a_n_ent_time_ps,a_n_ent_percent_ps,a_n_ent_money_ps,a_n_ent_quantity_ps,a_n_ent_ordinal_ps,a_n_ent_cardinal_ps,simp_adj_var,simp_adp_var,simp_adv_var,simp_aux_var,simp_cconj_var,simp_det_var,simp_intj_var,simp_noun_var,simp_num_var,simp_part_var,simp_pron_var,simp_propn_var,simp_punct_var,simp_sconj_var,simp_sym_var,simp_verb_var,simp_space_var,root_adj_var,root_adp_var,root_adv_var,root_aux_var,root_cconj_var,root_det_var,root_intj_var,root_noun_var,root_num_var,root_part_var,root_pron_var,root_propn_var,root_punct_var,root_sconj_var,root_sym_var,root_verb_var,root_space_var,corr_adj_var,corr_adp_var,corr_adv_var,corr_aux_var,corr_cconj_var,corr_det_var,corr_intj_var,corr_noun_var,corr_num_var,corr_part_var,corr_pron_var,corr_propn_var,corr_punct_var,corr_sconj_var,corr_sym_var,corr_verb_var,corr_space_var,simp_ttr,root_ttr,corr_ttr,bilog_ttr,uber_ttr,simp_ttr_no_lem,root_ttr_no_lem,corr_ttr_no_lem,bilog_ttr_no_lem,uber_ttr_no_lem,n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_adj_pw,a_adp_pw,a_adv_pw,a_aux_pw,a_cconj_pw,a_det_pw,a_intj_pw,a_noun_pw,a_num_pw,a_part_pw,a_pron_pw,a_propn_pw,a_punct_pw,a_sconj_pw,a_sym_pw,a_verb_pw,a_space_pw,a_adj_ps,a_adp_ps,a_adv_ps,a_aux_ps,a_cconj_ps,a_det_ps,a_intj_ps,a_noun_ps,a_num_ps,a_part_ps,a_pron_ps,a_propn_ps,a_punct_ps,a_sconj_ps,a_sym_ps,a_verb_ps,a_space_ps,fkre,fkgl,fogi,smog,cole,auto,rt_fast,rt_average,rt_slow,truthfulness
8,4,2,7,0,0,7,2,17,4.0,8.5,2.125,3.5,0.875,2.0,0.5,18.45,15.0,25.429,2.306,1.875,9.225,7.5,3.179,12.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.414,0.0,0.0,1.0,0.0,1.414,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.707,0.0,1.0,0.0,0.0,0.707,0.0,1.0,0.0,0.0,0.707,0.707,0.875,2.475,1.75,0.936,28.357,0.875,2.475,1.75,0.936,28.357,0,0,0,0,0,1,0,2,0,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,0,2,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,128.75,-3.705,1.6,0.0,-10.705,-9.421,0.027,0.033,0.046,0
11,3,2,17,2,1,11,2,45,5.5,22.5,4.091,8.5,1.545,1.5,0.273,23.65,17.0,43.058,2.15,1.545,11.825,8.5,3.914,21.529,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.414,0.0,0.0,0.0,1.732,1.414,0.0,0.0,1.0,1.0,0.0,0.707,0.0,0.0,0.0,0.707,0.0,1.0,0.0,0.0,0.0,1.225,1.0,0.0,0.0,0.707,0.707,1.0,3.317,2.345,1.0,0.0,1.0,3.317,2.345,1.0,0.0,0,1,0,0,0,1,0,2,0,0,0,3,2,0,0,1,1,0,1,0,0,0,1,0,2,0,0,0,3,2,0,0,1,1,0.0,0.091,0.0,0.0,0.0,0.091,0.0,0.182,0.0,0.0,0.0,0.273,0.182,0.0,0.0,0.091,0.091,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.5,0.5,70.507,4.791,9.473,4.04,2.873,0.588,0.037,0.046,0.063,1
13,5,2,12,0,0,13,3,48,4.333,16.0,3.692,4.0,0.923,1.667,0.385,54.86,45.333,56.009,4.22,3.487,18.287,15.111,4.308,18.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.414,1.0,0.0,1.414,1.0,0.707,0.0,0.0,0.0,0.0,0.707,0.0,1.414,0.0,0.0,0.707,0.0,1.0,0.707,0.0,1.0,0.707,1.0,3.606,2.55,1.0,0.0,1.0,3.606,2.55,1.0,0.0,1,0,0,0,0,1,0,4,0,0,1,0,2,1,0,2,1,1,0,0,0,0,1,0,4,0,0,1,0,2,1,0,2,1,0.077,0.0,0.0,0.0,0.0,0.077,0.0,0.308,0.0,0.0,0.077,0.0,0.154,0.077,0.0,0.154,0.077,0.333,0.0,0.0,0.0,0.0,0.333,0.0,1.333,0.0,0.0,0.333,0.0,0.667,0.333,0.0,0.667,0.333,124.344,-3.008,1.733,0.0,-0.92,-1.873,0.043,0.054,0.074,0
14,7,2,13,0,0,12,2,43,7.0,21.5,3.071,6.5,0.929,3.5,0.5,50.37,49.25,60.462,3.598,3.518,25.185,24.625,4.319,30.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.155,0.0,2.236,0.0,0.0,0.0,0.0,1.414,0.0,0.0,0.0,1.0,0.707,0.707,0.0,0.707,0.0,0.816,0.0,1.581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.707,0.857,3.207,2.268,0.942,40.057,0.857,3.207,2.268,0.942,40.057,1,1,0,1,0,3,0,5,0,0,0,0,2,0,0,0,1,1,1,0,1,0,2,0,5,0,0,0,0,2,0,0,0,1,0.071,0.071,0.0,0.071,0.0,0.214,0.0,0.357,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.071,0.5,0.5,0.0,0.5,0.0,1.5,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,121.173,-1.903,2.8,0.0,-1.969,-3.464,0.047,0.058,0.08,0
22,9,2,26,2,1,19,2,87,11.0,43.5,3.955,13.0,1.182,4.5,0.409,96.56,63.278,98.043,4.389,2.876,48.28,31.639,4.456,49.021,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.667,0.0,0.857,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.414,0.0,1.0,0.0,1.155,0.0,2.268,1.0,1.0,0.0,0.0,1.414,1.0,0.0,1.732,1.0,0.0,1.0,0.0,0.707,0.0,0.816,0.0,1.604,0.707,0.707,0.0,0.0,1.0,0.707,0.0,1.225,0.707,0.864,4.051,2.864,0.953,59.137,0.864,4.051,2.864,0.953,59.137,0,2,0,1,0,3,0,7,1,1,0,0,2,1,0,3,1,0,2,0,1,0,2,0,6,1,1,0,0,2,1,0,3,1,0.0,0.091,0.0,0.045,0.0,0.136,0.0,0.318,0.045,0.045,0.0,0.0,0.091,0.045,0.0,0.136,0.045,0.0,1.0,0.0,0.5,0.0,1.5,0.0,3.5,0.5,0.5,0.0,0.0,1.0,0.5,0.0,1.5,0.5,95.688,2.645,8.036,4.04,4.762,2.696,0.073,0.092,0.126,0
16,8,2,14,1,0,12,3,45,5.333,15.0,2.812,4.667,0.875,2.667,0.5,66.55,57.667,79.299,4.159,3.604,22.183,19.222,4.956,26.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.707,0.0,1.0,0.0,1.0,0.0,2.236,0.0,0.0,0.0,0.0,1.414,0.0,0.0,0.0,1.0,0.707,0.5,0.0,0.707,0.0,0.707,0.0,1.581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.707,0.75,3.0,2.121,0.896,21.464,0.75,3.0,2.121,0.896,21.464,1,2,0,1,0,4,0,5,0,0,0,0,2,0,0,0,1,1,1,0,1,0,2,0,5,0,0,0,0,2,0,0,0,1,0.062,0.125,0.0,0.062,0.0,0.25,0.0,0.312,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.062,0.333,0.667,0.0,0.333,0.0,1.333,0.0,1.667,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.333,127.397,-3.185,4.633,0.0,-4.813,-5.516,0.053,0.067,0.091,0
13,6,2,11,0,0,12,3,37,4.333,12.333,2.846,3.667,0.846,2.0,0.462,43.81,33.161,57.41,3.37,2.551,14.603,11.054,4.416,19.137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.077,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.707,0.0,2.0,1.0,0.0,0.0,0.0,1.414,0.0,0.0,0.0,1.0,0.0,0.707,0.707,0.707,0.0,0.5,0.0,1.414,0.707,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.707,0.923,3.328,2.353,0.969,77.143,0.923,3.328,2.353,0.969,77.143,0,1,1,1,0,2,0,4,1,0,0,0,2,0,0,0,1,0,1,1,1,0,1,0,4,1,0,0,0,2,0,0,0,1,0.0,0.077,0.077,0.077,0.0,0.154,0.0,0.308,0.077,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.077,0.0,0.333,0.333,0.333,0.0,0.667,0.0,1.333,0.333,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.333,130.852,-3.915,1.733,0.0,-5.895,-5.858,0.043,0.054,0.074,0
15,7,2,11,0,0,12,3,47,5.0,15.667,3.133,3.667,0.733,2.333,0.467,52.54,51.979,75.059,3.503,3.465,17.513,17.326,5.004,25.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.333,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.577,0.0,1.5,0.0,0.0,0.0,0.0,1.414,0.0,0.0,1.414,1.0,0.0,0.707,0.0,0.707,0.707,0.408,0.0,1.061,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.707,0.8,3.098,2.191,0.918,27.672,0.8,3.098,2.191,0.918,27.672,0,1,0,1,1,3,0,4,0,0,0,0,2,0,0,2,1,0,1,0,1,1,1,0,3,0,0,0,0,2,0,0,2,1,0.0,0.067,0.0,0.067,0.067,0.2,0.0,0.267,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.133,0.067,0.0,0.333,0.0,0.333,0.333,1.0,0.0,1.333,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.667,0.333,139.72,-4.987,2.0,0.0,-3.296,-4.172,0.05,0.062,0.086,1
5,1,2,4,0,0,5,2,11,2.5,5.5,2.2,2.0,0.8,0.5,0.2,2.89,2.0,11.565,0.578,0.4,1.445,1.0,2.313,5.782,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.414,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,0.0,0.0,0.0,0.707,1.0,0.0,0.0,0.0,0.707,1.0,2.236,1.581,1.0,0.0,1.0,2.236,1.581,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,136.618,-5.175,1.0,0.0,-14.704,-9.818,0.017,0.021,0.029,0
32,18,4,37,1,0,16,4,111,8.0,27.75,3.469,9.25,1.156,4.5,0.562,135.43,135.5,162.57,4.232,4.234,33.857,33.875,5.08,40.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.667,0.0,1.0,0.0,0.4,0.0,0.833,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.5,1.0,1.0,1.155,0.0,1.0,0.0,0.894,0.0,2.041,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.707,0.816,0.0,0.707,0.0,0.632,0.0,1.443,0.0,0.0,0.354,0.0,0.707,0.0,0.0,0.707,0.707,0.5,2.828,2.0,0.8,11.09,0.5,2.828,2.0,0.8,11.09,4,3,0,1,0,5,0,6,0,0,4,0,4,0,0,4,1,2,2,0,1,0,2,0,5,0,0,1,0,2,0,0,2,1,0.125,0.094,0.0,0.031,0.0,0.156,0.0,0.188,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.031,1.0,0.75,0.0,0.25,0.0,1.25,0.0,1.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.25,100.896,1.174,4.45,0.0,0.896,-1.092,0.107,0.133,0.183,1
