,truthfulness
truthfulness,1.0
n_aux,0.1476293770476083
a_bry_pw,0.14300958835424962
a_intj_pw,0.14216845601816128
t_kup,0.13979988490285902
a_kup_pw,0.13716396307270054
a_aux_ps,0.13578463453371048
t_bry,0.13569688622232254
a_bry_ps,0.13333114494872864
a_kup_ps,0.13239825856304183
a_stopword_pw,0.11451544036157885
n_noun,0.11340629903792009
t_stopword,0.11047360995971417
a_intj_ps,0.10982308634783004
n_adp,0.10622942529824705
n_pron,0.10582254960021299
a_pron_ps,0.10331575952246137
n_unoun,0.10278240263871832
n_verb,0.10219497050994744
a_noun_ps,0.10056146502161357
corr_intj_var,0.10053216193106283
simp_intj_var,0.10053216193106111
root_intj_var,0.10053216193106111
n_intj,0.10053216193106111
n_uintj,0.10053216193106111
t_syll,0.09635914157652029
a_verb_ps,0.09579675746577761
a_stopword_ps,0.09485161806686863
t_subtlex_us_zipf,0.09353419918464492
a_adp_ps,0.08867464604209757
n_part,0.08711543786760627
n_adj,0.08691561875059257
corr_noun_var,0.08678726552761179
root_noun_var,0.08677847313546358
a_part_ps,0.08666208293912346
n_uaux,0.08650423252747795
a_aux_pw,0.08600182650279843
n_upart,0.084413247532181
a_noun_pw,0.0817172770704851
n_uverb,0.0815401434487008
n_cconj,0.0809812805920976
t_char,0.08042360398005502
a_subtlex_us_zipf_ps,0.07898947339345938
n_upron,0.07639617029967727
rt_fast,0.07492677313069927
rt_slow,0.07489704871366872
t_word,0.07424117596852269
rt_average,0.07422718649339906
a_adj_ps,0.07327668189295991
a_part_pw,0.0728627066300138
root_part_var,0.07150380597086489
corr_part_var,0.07149765071971116
simp_adp_var,0.0692387523840519
a_syll_ps,0.06918809605396557
t_sent,0.06865948680750308
root_aux_var,0.06833152097433148
corr_aux_var,0.06832119791205668
a_pron_pw,0.06798571641565238
root_adp_var,0.06613392006315734
corr_adp_var,0.0661056603863193
n_uadp,0.06605396916232538
a_adp_pw,0.06514483902416723
a_verb_pw,0.06486378669556572
corr_verb_var,0.06387246223527006
root_verb_var,0.06386786049439241
t_syll2,0.06348897105922229
a_subtlex_us_zipf_pw,0.06279635773209212
t_syll3,0.06222911679749882
corr_pron_var,0.061054028525056626
root_pron_var,0.0610450929970528
a_char_ps,0.060600814412737056
uber_ttr_no_lem,0.060424320142189264
uber_ttr,0.060424320142189264
simp_part_var,0.05962130490071676
t_uword,0.059277066954237505
a_word_ps,0.05783785280188089
simp_aux_var,0.055461394015902346
t_n_ent_fac,0.05518174948228427
a_n_ent_fac_ps,0.05464978683971009
a_n_ent_money_ps,0.0544844579604946
a_n_ent_percent_ps,0.0544844579604946
n_udet,0.05429206706872587
a_n_ent_fac_pw,0.051466596517607294
n_uadj,0.05108002947439002
a_cconj_ps,0.04831378396906881
a_n_ent_law_ps,0.047602372046575636
n_ucconj,0.04706189676267855
t_n_ent_money,0.0441376355314139
t_n_ent_percent,0.0441376355314139
simp_pron_var,0.044039045376535954
simp_verb_var,0.04315266228689719
a_sym_pw,0.03884518534426528
smog,0.037418665760162576
a_sconj_ps,0.03665424804950274
n_sconj,0.036030613946667345
a_n_ent_percent_pw,0.03569232658165363
a_n_ent_money_pw,0.03569232658165363
corr_cconj_var,0.03463073749381822
root_cconj_var,0.03462262899465665
n_usconj,0.033385731095182634
a_n_ent_law_pw,0.029956111996056675
root_adj_var,0.029381234977370854
corr_adj_var,0.029368836307854047
corr_sconj_var,0.02784528782533676
root_sconj_var,0.027840815481291324
t_n_ent_date,0.02608968546749325
simp_cconj_var,0.02552593659838518
t_n_ent_law,0.025420264172501848
a_adj_pw,0.025373051379655755
a_sym_ps,0.02505232991934671
fkgl,0.024270362884995136
simp_sconj_var,0.02322632013304694
a_sconj_pw,0.02275841742136302
root_sym_var,0.022627329447607293
n_sym,0.022627329447607293
n_usym,0.022627329447607293
simp_sym_var,0.022627329447607293
corr_sym_var,0.022627329447606283
fogi,0.022256421306856962
t_n_ent_ordinal,0.022179432394427222
a_cconj_pw,0.021085826495383462
corr_ttr_no_lem,0.018502686467917022
corr_ttr,0.018502686467917022
root_ttr,0.018492275088027976
root_ttr_no_lem,0.018492275088027976
root_det_var,0.018477556967367005
corr_det_var,0.01847300275751253
simp_adj_var,0.014120512718268991
n_det,0.013568841668039044
a_n_ent_date_ps,0.01351645914555207
a_det_ps,0.013163366268860643
t_punct,0.008860262418861722
a_n_ent_ordinal_ps,0.00863247897248509
n_upunct,0.007804887218855902
auto,0.00512849235558429
t_n_ent_loc,0.004671270976831877
a_syll_pw,0.00465054947325628
t_n_ent_language,0.0002629926891649893
n_punct,-0.002805868261427964
a_n_ent_language_pw,-0.005793346337669901
a_n_ent_language_ps,-0.007856066847814262
t_n_ent_norp,-0.010136138522271928
a_punct_ps,-0.01134192820815092
root_punct_var,-0.011803035530721713
n_num,-0.011808506299653455
corr_punct_var,-0.01187718258768788
t_n_ent_org,-0.012069127255742895
cole,-0.012460335436359628
fkre,-0.012759426611976533
a_n_ent_ordinal_pw,-0.013340689324853125
n_unum,-0.013597895967997192
a_n_ent_date_pw,-0.015523828849142374
a_det_pw,-0.016304900272319192
a_n_ent_loc_ps,-0.018612362886322693
a_char_pw,-0.01964103116610071
a_n_ent_norp_ps,-0.020485533645704868
corr_num_var,-0.020656112653058
root_num_var,-0.020660980981019487
a_num_ps,-0.022445464878030053
simp_det_var,-0.022459445113245317
a_n_ent_loc_pw,-0.02360494150456826
simp_num_var,-0.024339385179702647
a_punct_pw,-0.024919399173540375
a_n_ent_product_pw,-0.025562254728801855
a_n_ent_product_ps,-0.028702661643073408
a_n_ent_quantity_ps,-0.029667215750755576
t_n_ent_quantity,-0.030258973974772566
a_n_ent_quantity_pw,-0.03025897397477315
t_n_ent_product,-0.03025897397477431
a_space_pw,-0.03202067528027433
simp_punct_var,-0.03221697505010021
a_n_ent_org_pw,-0.03230096103251115
n_adv,-0.03319202229625168
a_n_ent_cardinal_ps,-0.036754835159790764
t_n_ent_cardinal,-0.03994980016995817
a_num_pw,-0.04021070600148992
a_n_ent_art_pw,-0.04063685103671805
a_n_ent_org_ps,-0.04152238267697463
t_n_ent_art,-0.041885227741580336
a_n_ent_norp_pw,-0.04352684119319865
a_n_ent_cardinal_pw,-0.04396595569242846
a_n_ent_art_ps,-0.04692637120753945
a_adv_ps,-0.04781399801737835
simp_adv_var,-0.052441583742758896
a_n_ent_event_pw,-0.054450005205252436
a_n_ent_event_ps,-0.055625277100460765
t_n_ent_event,-0.05678380818032262
root_adv_var,-0.05706370967269079
corr_adv_var,-0.05706634228296057
corr_space_var,-0.057310858783781615
simp_space_var,-0.05731085878378352
n_uspace,-0.05731085878378352
root_space_var,-0.05731085878378352
n_space,-0.05731085878378352
a_n_ent_time_pw,-0.05837160905324366
a_n_ent_time_ps,-0.059720299362119686
n_uadv,-0.05984499008331755
t_n_ent_time,-0.06074195099032388
bilog_ttr_no_lem,-0.06386982110192506
bilog_ttr,-0.06386982110192506
a_n_ent_gpe_pw,-0.06480871330341417
simp_ttr_no_lem,-0.06753827263626805
simp_ttr,-0.06753827263626805
a_adv_pw,-0.07107576953264758
t_n_ent_gpe,-0.07185501776477288
a_space_ps,-0.0744409075781599
simp_noun_var,-0.07739014257956447
a_n_ent_gpe_ps,-0.08177627834727831
t_n_ent,-0.09342760742320913
t_n_ent_person,-0.09461037391892485
a_n_ent_person_ps,-0.1106809078194642
simp_propn_var,-0.11469871005950547
n_propn,-0.12118912892874763
n_upropn,-0.12344115540937575
a_n_ent_ps,-0.129975021751889
a_n_ent_person_pw,-0.1324954419949855
corr_propn_var,-0.13893394712296459
root_propn_var,-0.13893810550624816
a_propn_ps,-0.15726361263003924
a_n_ent_pw,-0.1728978734539171
a_propn_pw,-0.20215560975435012
