t_word,t_stopword,t_punct,t_syll,t_syll2,t_syll3,t_uword,t_sent,t_char,a_word_ps,a_char_ps,a_char_pw,a_syll_ps,a_syll_pw,a_stopword_ps,a_stopword_pw,t_kup,t_bry,t_subtlex_us_zipf,a_kup_pw,a_bry_pw,a_kup_ps,a_bry_ps,a_subtlex_us_zipf_pw,a_subtlex_us_zipf_ps,t_n_ent,t_n_ent_person,t_n_ent_norp,t_n_ent_fac,t_n_ent_org,t_n_ent_gpe,t_n_ent_loc,t_n_ent_product,t_n_ent_event,t_n_ent_art,t_n_ent_law,t_n_ent_language,t_n_ent_date,t_n_ent_time,t_n_ent_percent,t_n_ent_money,t_n_ent_quantity,t_n_ent_ordinal,t_n_ent_cardinal,a_n_ent_pw,a_n_ent_person_pw,a_n_ent_norp_pw,a_n_ent_fac_pw,a_n_ent_org_pw,a_n_ent_gpe_pw,a_n_ent_loc_pw,a_n_ent_product_pw,a_n_ent_event_pw,a_n_ent_art_pw,a_n_ent_law_pw,a_n_ent_language_pw,a_n_ent_date_pw,a_n_ent_time_pw,a_n_ent_percent_pw,a_n_ent_money_pw,a_n_ent_quantity_pw,a_n_ent_ordinal_pw,a_n_ent_cardinal_pw,a_n_ent_ps,a_n_ent_person_ps,a_n_ent_norp_ps,a_n_ent_fac_ps,a_n_ent_org_ps,a_n_ent_gpe_ps,a_n_ent_loc_ps,a_n_ent_product_ps,a_n_ent_event_ps,a_n_ent_art_ps,a_n_ent_law_ps,a_n_ent_language_ps,a_n_ent_date_ps,a_n_ent_time_ps,a_n_ent_percent_ps,a_n_ent_money_ps,a_n_ent_quantity_ps,a_n_ent_ordinal_ps,a_n_ent_cardinal_ps,simp_adj_var,simp_adp_var,simp_adv_var,simp_aux_var,simp_cconj_var,simp_det_var,simp_intj_var,simp_noun_var,simp_num_var,simp_part_var,simp_pron_var,simp_propn_var,simp_punct_var,simp_sconj_var,simp_sym_var,simp_verb_var,simp_space_var,root_adj_var,root_adp_var,root_adv_var,root_aux_var,root_cconj_var,root_det_var,root_intj_var,root_noun_var,root_num_var,root_part_var,root_pron_var,root_propn_var,root_punct_var,root_sconj_var,root_sym_var,root_verb_var,root_space_var,corr_adj_var,corr_adp_var,corr_adv_var,corr_aux_var,corr_cconj_var,corr_det_var,corr_intj_var,corr_noun_var,corr_num_var,corr_part_var,corr_pron_var,corr_propn_var,corr_punct_var,corr_sconj_var,corr_sym_var,corr_verb_var,corr_space_var,simp_ttr,root_ttr,corr_ttr,bilog_ttr,uber_ttr,simp_ttr_no_lem,root_ttr_no_lem,corr_ttr_no_lem,bilog_ttr_no_lem,uber_ttr_no_lem,n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_adj_pw,a_adp_pw,a_adv_pw,a_aux_pw,a_cconj_pw,a_det_pw,a_intj_pw,a_noun_pw,a_num_pw,a_part_pw,a_pron_pw,a_propn_pw,a_punct_pw,a_sconj_pw,a_sym_pw,a_verb_pw,a_space_pw,a_adj_ps,a_adp_ps,a_adv_ps,a_aux_ps,a_cconj_ps,a_det_ps,a_intj_ps,a_noun_ps,a_num_ps,a_part_ps,a_pron_ps,a_propn_ps,a_punct_ps,a_sconj_ps,a_sym_ps,a_verb_ps,a_space_ps,fkre,fkgl,fogi,smog,cole,auto,rt_fast,rt_average,rt_slow,truthfulness
9,4,2,8,0,0,8,2,22,4.5,11.0,2.444,4.0,0.889,2.0,0.444,24.35,22.333,36.828,2.706,2.481,12.175,11.167,4.092,18.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.414,0.0,0.0,1.0,0.0,1.414,0.0,0.0,1.0,1.0,0.0,0.0,0.707,0.0,0.0,0.707,0.0,1.0,0.0,0.0,0.707,0.0,1.0,0.0,0.0,0.707,0.707,0.889,2.667,1.886,0.946,36.712,0.889,2.667,1.886,0.946,36.712,0,0,1,0,0,1,0,2,0,0,1,0,2,0,0,1,1,0,0,1,0,0,1,0,2,0,0,1,0,2,0,0,1,1,0.0,0.0,0.111,0.0,0.0,0.111,0.0,0.222,0.0,0.0,0.111,0.0,0.222,0.0,0.0,0.111,0.111,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,127.068,-3.346,1.8,0.0,-8.004,-7.667,0.03,0.037,0.051,0
10,3,2,14,1,1,10,3,38,3.333,12.667,3.8,4.667,1.4,1.0,0.3,32.7,21.0,38.019,3.27,2.1,10.9,7.0,3.802,12.673,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.732,0.0,0.0,0.0,1.0,1.414,0.0,0.0,1.0,1.0,0.0,0.707,0.0,0.0,0.0,0.707,0.0,1.225,0.0,0.0,0.0,0.707,1.0,0.0,0.0,0.707,0.707,1.0,3.162,2.236,1.0,0.0,1.0,3.162,2.236,1.0,0.0,0,1,0,0,0,1,0,3,0,0,0,1,2,0,0,1,1,0,1,0,0,0,1,0,3,0,0,0,1,2,0,0,1,1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.333,0.0,0.0,0.0,0.333,0.0,1.0,0.0,0.0,0.0,0.333,0.667,0.0,0.0,0.333,0.333,85.012,2.23,5.333,3.298,-2.336,-1.865,0.033,0.042,0.057,0
16,7,2,15,1,0,15,2,47,8.0,23.5,2.938,7.5,0.938,3.5,0.438,68.22,62.833,75.809,4.264,3.927,34.11,31.417,4.738,37.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.732,0.0,1.0,0.0,1.414,0.0,2.236,0.0,0.0,0.0,0.0,1.414,0.0,0.0,1.0,1.0,0.707,1.225,0.0,0.707,0.0,1.0,0.0,1.581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.707,0.707,0.938,3.75,2.652,0.977,113.63,0.938,3.75,2.652,0.977,113.63,1,3,0,1,0,2,0,5,0,0,0,0,2,0,0,1,1,1,3,0,1,0,2,0,5,0,0,0,0,2,0,0,1,1,0.062,0.188,0.0,0.062,0.0,0.125,0.0,0.312,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.062,0.062,0.5,1.5,0.0,0.5,0.0,1.0,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,119.403,-1.407,5.7,0.0,-2.227,-3.594,0.053,0.067,0.091,0
14,7,2,13,0,0,12,2,43,7.0,21.5,3.071,6.5,0.929,3.5,0.5,50.37,49.25,60.462,3.598,3.518,25.185,24.625,4.319,30.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.155,0.0,2.236,0.0,0.0,0.0,0.0,1.414,0.0,0.0,0.0,1.0,0.707,0.707,0.0,0.707,0.0,0.816,0.0,1.581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.707,0.857,3.207,2.268,0.942,40.057,0.857,3.207,2.268,0.942,40.057,1,1,0,1,0,3,0,5,0,0,0,0,2,0,0,0,1,1,1,0,1,0,2,0,5,0,0,0,0,2,0,0,0,1,0.071,0.071,0.0,0.071,0.0,0.214,0.0,0.357,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.071,0.5,0.5,0.0,0.5,0.0,1.5,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,121.173,-1.903,2.8,0.0,-1.969,-3.464,0.047,0.058,0.08,0
19,10,2,23,2,1,17,3,73,6.333,24.333,3.842,7.667,1.211,3.333,0.526,76.28,61.933,100.067,4.015,3.26,25.427,20.644,5.267,33.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.414,0.0,0.707,0.0,2.0,0.0,0.707,1.0,0.0,1.414,0.0,0.0,1.732,1.0,0.707,0.707,0.0,1.0,0.0,0.5,0.0,1.414,0.0,0.5,0.707,0.0,1.0,0.0,0.0,1.225,0.707,0.895,3.9,2.758,0.962,72.169,0.895,3.9,2.758,0.962,72.169,1,1,0,2,0,2,0,4,0,2,1,0,2,0,0,3,1,1,1,0,2,0,1,0,4,0,1,1,0,2,0,0,3,1,0.053,0.053,0.0,0.105,0.0,0.105,0.0,0.211,0.0,0.105,0.053,0.0,0.105,0.0,0.0,0.158,0.053,0.333,0.333,0.0,0.667,0.0,0.667,0.0,1.333,0.0,0.667,0.333,0.0,0.667,0.0,0.0,1.0,0.333,97.996,1.164,6.744,3.298,2.118,-0.167,0.063,0.079,0.109,1
20,7,2,29,4,0,18,3,90,6.667,30.0,4.5,9.667,1.45,2.333,0.35,72.14,59.643,86.231,3.607,2.982,24.047,19.881,4.312,28.744,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.414,1.0,0.0,0.0,0.0,0.707,0.0,1.5,0.0,0.0,1.0,2.0,1.414,1.0,0.0,1.414,1.0,1.0,0.707,0.0,0.0,0.0,0.5,0.0,1.061,0.0,0.0,0.707,1.414,1.0,0.707,0.0,1.0,0.707,0.9,4.025,2.846,0.965,79.292,0.9,4.025,2.846,0.965,79.292,2,1,0,0,0,2,0,4,0,0,1,4,2,1,0,2,1,2,1,0,0,0,1,0,3,0,0,1,4,2,1,0,2,1,0.1,0.05,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.05,0.2,0.1,0.05,0.0,0.1,0.05,0.667,0.333,0.0,0.0,0.0,0.667,0.0,1.333,0.0,0.0,0.333,1.333,0.667,0.333,0.0,0.667,0.333,77.398,4.12,10.667,0.0,6.22,3.098,0.067,0.083,0.114,0
17,5,3,21,2,1,16,3,59,5.667,19.667,3.471,7.0,1.235,1.667,0.294,62.9,54.375,65.391,3.7,3.199,20.967,18.125,3.847,21.797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.059,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.732,1.0,1.0,0.0,0.0,1.0,0.0,1.789,1.0,0.0,1.0,0.0,1.414,0.0,0.0,1.0,1.0,1.225,0.707,0.707,0.0,0.0,0.707,0.0,1.265,0.707,0.0,0.707,0.0,1.0,0.0,0.0,0.707,0.707,0.941,3.881,2.744,0.979,126.801,0.941,3.881,2.744,0.979,126.801,3,1,1,0,0,1,0,5,1,0,1,0,2,0,0,1,1,3,1,1,0,0,1,0,4,1,0,1,0,2,0,0,1,1,0.176,0.059,0.059,0.0,0.0,0.059,0.0,0.294,0.059,0.0,0.059,0.0,0.118,0.0,0.0,0.059,0.059,1.0,0.333,0.333,0.0,0.0,0.333,0.0,1.667,0.333,0.0,0.333,0.0,0.667,0.0,0.0,0.333,0.333,96.577,1.196,6.973,3.298,-0.616,-2.25,0.057,0.071,0.097,0
13,6,2,10,0,0,12,3,41,4.333,13.667,3.154,3.333,0.769,2.0,0.462,45.09,44.014,61.286,3.468,3.386,15.03,14.671,4.714,20.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.707,0.0,2.0,0.0,0.0,0.0,0.0,1.414,0.0,0.0,1.0,1.0,0.0,0.707,0.0,0.707,0.707,0.5,0.0,1.414,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.707,0.707,0.923,3.328,2.353,0.969,77.143,0.923,3.328,2.353,0.969,77.143,0,1,0,1,1,2,0,4,0,0,0,0,2,0,0,1,1,0,1,0,1,1,1,0,4,0,0,0,0,2,0,0,1,1,0.0,0.077,0.0,0.077,0.077,0.154,0.0,0.308,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.077,0.077,0.0,0.333,0.0,0.333,0.333,0.667,0.0,1.333,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.333,0.333,137.36,-4.823,1.733,0.0,-4.086,-4.409,0.043,0.054,0.074,1
9,3,2,10,1,0,9,2,33,4.5,16.5,3.667,5.0,1.111,1.5,0.333,18.83,17.833,31.612,2.092,1.981,9.415,8.917,3.512,15.806,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.414,0.0,0.0,0.0,1.0,1.414,0.0,0.0,1.0,1.0,0.707,0.0,0.0,0.0,0.0,0.707,0.0,1.0,0.0,0.0,0.0,0.707,1.0,0.0,0.0,0.707,0.707,1.0,3.0,2.121,1.0,0.0,1.0,3.0,2.121,1.0,0.0,1,0,0,0,0,1,0,2,0,0,0,1,2,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,1,2,0,0,1,1,0.111,0.0,0.0,0.0,0.0,0.111,0.0,0.222,0.0,0.0,0.0,0.111,0.222,0.0,0.0,0.111,0.111,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,108.268,-0.724,6.244,0.0,-0.818,-1.91,0.03,0.037,0.051,0
20,10,2,26,2,0,16,3,80,6.667,26.667,4.0,8.667,1.3,3.333,0.5,82.96,86.81,97.06,4.148,4.34,27.653,28.937,4.853,32.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.414,0.0,1.342,0.0,1.0,1.414,0.0,1.414,1.0,0.0,1.732,1.0,0.707,0.707,0.0,0.707,0.0,1.0,0.0,0.949,0.0,0.707,1.0,0.0,1.0,0.707,0.0,1.225,0.707,0.8,3.578,2.53,0.926,34.45,0.8,3.578,2.53,0.926,34.45,1,1,0,1,0,2,0,5,0,1,2,0,2,1,0,3,1,1,1,0,1,0,2,0,3,0,1,2,0,2,1,0,3,1,0.05,0.05,0.0,0.05,0.0,0.1,0.0,0.25,0.0,0.05,0.1,0.0,0.1,0.05,0.0,0.15,0.05,0.333,0.333,0.0,0.333,0.0,0.667,0.0,1.667,0.0,0.333,0.667,0.0,0.667,0.333,0.0,1.0,0.333,90.088,2.35,6.667,0.0,3.28,0.743,0.067,0.083,0.114,0
