t_word,t_stopword,t_punct,t_syll,t_syll2,t_syll3,t_uword,t_sent,t_char,a_word_ps,a_char_ps,a_char_pw,a_syll_ps,a_syll_pw,a_stopword_ps,a_stopword_pw,t_kup,t_bry,t_subtlex_us_zipf,a_kup_pw,a_bry_pw,a_kup_ps,a_bry_ps,a_subtlex_us_zipf_pw,a_subtlex_us_zipf_ps,t_n_ent,t_n_ent_person,t_n_ent_norp,t_n_ent_fac,t_n_ent_org,t_n_ent_gpe,t_n_ent_loc,t_n_ent_product,t_n_ent_event,t_n_ent_art,t_n_ent_law,t_n_ent_language,t_n_ent_date,t_n_ent_time,t_n_ent_percent,t_n_ent_money,t_n_ent_quantity,t_n_ent_ordinal,t_n_ent_cardinal,a_n_ent_pw,a_n_ent_person_pw,a_n_ent_norp_pw,a_n_ent_fac_pw,a_n_ent_org_pw,a_n_ent_gpe_pw,a_n_ent_loc_pw,a_n_ent_product_pw,a_n_ent_event_pw,a_n_ent_art_pw,a_n_ent_law_pw,a_n_ent_language_pw,a_n_ent_date_pw,a_n_ent_time_pw,a_n_ent_percent_pw,a_n_ent_money_pw,a_n_ent_quantity_pw,a_n_ent_ordinal_pw,a_n_ent_cardinal_pw,a_n_ent_ps,a_n_ent_person_ps,a_n_ent_norp_ps,a_n_ent_fac_ps,a_n_ent_org_ps,a_n_ent_gpe_ps,a_n_ent_loc_ps,a_n_ent_product_ps,a_n_ent_event_ps,a_n_ent_art_ps,a_n_ent_law_ps,a_n_ent_language_ps,a_n_ent_date_ps,a_n_ent_time_ps,a_n_ent_percent_ps,a_n_ent_money_ps,a_n_ent_quantity_ps,a_n_ent_ordinal_ps,a_n_ent_cardinal_ps,simp_adj_var,simp_adp_var,simp_adv_var,simp_aux_var,simp_cconj_var,simp_det_var,simp_intj_var,simp_noun_var,simp_num_var,simp_part_var,simp_pron_var,simp_propn_var,simp_punct_var,simp_sconj_var,simp_sym_var,simp_verb_var,simp_space_var,root_adj_var,root_adp_var,root_adv_var,root_aux_var,root_cconj_var,root_det_var,root_intj_var,root_noun_var,root_num_var,root_part_var,root_pron_var,root_propn_var,root_punct_var,root_sconj_var,root_sym_var,root_verb_var,root_space_var,corr_adj_var,corr_adp_var,corr_adv_var,corr_aux_var,corr_cconj_var,corr_det_var,corr_intj_var,corr_noun_var,corr_num_var,corr_part_var,corr_pron_var,corr_propn_var,corr_punct_var,corr_sconj_var,corr_sym_var,corr_verb_var,corr_space_var,simp_ttr,root_ttr,corr_ttr,bilog_ttr,uber_ttr,simp_ttr_no_lem,root_ttr_no_lem,corr_ttr_no_lem,bilog_ttr_no_lem,uber_ttr_no_lem,n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_adj_pw,a_adp_pw,a_adv_pw,a_aux_pw,a_cconj_pw,a_det_pw,a_intj_pw,a_noun_pw,a_num_pw,a_part_pw,a_pron_pw,a_propn_pw,a_punct_pw,a_sconj_pw,a_sym_pw,a_verb_pw,a_space_pw,a_adj_ps,a_adp_ps,a_adv_ps,a_aux_ps,a_cconj_ps,a_det_ps,a_intj_ps,a_noun_ps,a_num_ps,a_part_ps,a_pron_ps,a_propn_ps,a_punct_ps,a_sconj_ps,a_sym_ps,a_verb_ps,a_space_ps,fkre,fkgl,fogi,smog,cole,auto,rt_fast,rt_average,rt_slow,truthfulness
10,4,2,12,1,1,9,2,32,5.0,16.0,3.2,6.0,1.2,2.0,0.4,28.57,26.333,40.173,2.857,2.633,14.285,13.167,4.017,20.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.732,0.0,0.0,1.0,0.0,1.414,0.0,0.0,1.0,1.0,0.0,0.0,0.707,0.0,0.0,0.707,0.0,1.225,0.0,0.0,0.707,0.0,1.0,0.0,0.0,0.707,0.707,0.9,2.846,2.012,0.954,45.822,0.9,2.846,2.012,0.954,45.822,0,0,1,0,0,1,0,3,0,0,1,0,2,0,0,1,1,0,0,1,0,0,1,0,3,0,0,1,0,2,0,0,1,1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,100.24,0.52,6.0,4.04,-2.904,-3.858,0.033,0.042,0.057,0
16,6,2,17,2,0,14,3,60,5.333,20.0,3.75,5.667,1.062,2.0,0.375,49.23,25.0,70.003,3.077,1.562,16.41,8.333,4.375,23.334,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.125,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.707,0.0,1.0,0.0,0.707,0.0,1.732,1.0,0.0,0.0,1.414,1.414,0.0,0.0,1.0,1.0,0.707,0.5,0.0,0.707,0.0,0.5,0.0,1.225,0.707,0.0,0.0,1.0,1.0,0.0,0.0,0.707,0.707,0.875,3.5,2.475,0.952,52.157,0.875,3.5,2.475,0.952,52.157,1,2,0,1,0,2,0,3,1,0,0,2,2,0,0,1,1,1,1,0,1,0,1,0,3,1,0,0,2,2,0,0,1,1,0.062,0.125,0.0,0.062,0.0,0.125,0.0,0.188,0.062,0.0,0.0,0.125,0.125,0.0,0.0,0.062,0.062,0.333,0.667,0.0,0.333,0.0,0.667,0.0,1.0,0.333,0.0,0.0,0.667,0.667,0.0,0.0,0.333,0.333,111.534,-0.972,7.133,0.0,0.7,-1.101,0.053,0.067,0.091,1
16,7,2,14,1,0,15,2,49,8.0,24.5,3.062,7.0,0.875,3.5,0.438,69.31,63.833,75.968,4.332,3.99,34.655,31.917,4.748,37.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.732,0.0,1.0,0.0,0.707,0.0,2.236,0.0,0.0,0.0,0.0,1.414,0.0,0.0,1.0,1.0,0.707,1.225,0.0,0.707,0.0,0.5,0.0,1.581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.707,0.707,0.938,3.75,2.652,0.977,113.63,0.938,3.75,2.652,0.977,113.63,1,3,0,1,0,2,0,5,0,0,0,0,2,0,0,1,1,1,3,0,1,0,1,0,5,0,0,0,0,2,0,0,1,1,0.062,0.188,0.0,0.062,0.0,0.125,0.0,0.312,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.062,0.062,0.5,1.5,0.0,0.5,0.0,1.0,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,124.69,-2.145,5.7,0.0,-1.492,-3.006,0.053,0.067,0.091,0
14,7,2,13,0,0,12,3,42,4.667,14.0,3.0,4.333,0.929,2.333,0.5,48.68,46.25,64.253,3.477,3.304,16.227,15.417,4.59,21.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.155,0.0,2.236,0.0,0.0,0.0,0.0,1.414,0.0,0.0,0.0,1.0,0.707,0.707,0.0,0.707,0.0,0.816,0.0,1.581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.707,0.857,3.207,2.268,0.942,40.057,0.857,3.207,2.268,0.942,40.057,1,1,0,1,0,3,0,5,0,0,0,0,2,0,0,0,1,1,1,0,1,0,2,0,5,0,0,0,0,2,0,0,0,1,0.071,0.071,0.0,0.071,0.0,0.214,0.0,0.357,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.071,0.333,0.333,0.0,0.333,0.0,1.0,0.0,1.667,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.333,123.541,-2.813,1.867,0.0,-4.503,-4.967,0.047,0.058,0.08,0
17,7,2,19,0,0,16,2,63,8.5,31.5,3.706,9.5,1.118,3.5,0.412,55.58,52.278,76.202,3.269,3.075,27.79,26.139,4.482,38.101,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.414,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.414,0.0,0.0,1.732,1.0,0.0,0.707,1.0,0.707,0.0,0.707,0.0,1.414,0.707,0.0,0.707,0.0,1.0,0.0,0.0,1.225,0.707,0.941,3.881,2.744,0.979,126.801,0.941,3.881,2.744,0.979,126.801,0,1,2,1,0,1,0,4,1,0,1,0,2,0,0,3,1,0,1,2,1,0,1,0,4,1,0,1,0,2,0,0,3,1,0.0,0.059,0.118,0.059,0.0,0.059,0.0,0.235,0.059,0.0,0.059,0.0,0.118,0.0,0.0,0.176,0.059,0.0,0.5,1.0,0.5,0.0,0.5,0.0,2.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.5,0.5,103.655,0.913,3.4,0.0,2.508,0.275,0.057,0.071,0.097,0
16,8,2,14,0,0,15,2,47,8.0,23.5,2.938,7.0,0.875,4.0,0.5,61.29,70.243,74.793,3.831,4.39,30.645,35.121,4.675,37.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.707,0.0,2.0,0.0,1.0,1.0,0.0,1.414,0.0,0.0,1.414,1.0,0.707,0.707,0.0,0.707,0.0,0.5,0.0,1.414,0.0,0.707,0.707,0.0,1.0,0.0,0.0,1.0,0.707,0.938,3.75,2.652,0.977,113.63,0.938,3.75,2.652,0.977,113.63,1,1,0,1,0,2,0,4,0,1,1,0,2,0,0,2,1,1,1,0,1,0,1,0,4,0,1,1,0,2,0,0,2,1,0.062,0.062,0.0,0.062,0.0,0.125,0.0,0.25,0.0,0.062,0.062,0.0,0.125,0.0,0.0,0.125,0.062,0.5,0.5,0.0,0.5,0.0,1.0,0.0,2.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.5,124.69,-2.145,3.2,0.0,-2.227,-3.594,0.053,0.067,0.091,0
17,6,3,17,1,0,16,3,51,5.667,17.0,3.0,5.667,1.0,2.0,0.353,53.19,43.994,64.417,3.129,2.588,17.73,14.665,3.789,21.472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.059,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.414,1.0,1.0,0.0,0.0,0.707,0.0,2.236,1.0,1.0,0.0,0.0,1.414,0.0,0.0,1.0,1.0,1.0,0.707,0.707,0.0,0.0,0.5,0.0,1.581,0.707,0.707,0.0,0.0,1.0,0.0,0.0,0.707,0.707,0.941,3.881,2.744,0.979,126.801,0.941,3.881,2.744,0.979,126.801,2,1,1,0,0,2,0,5,1,1,0,0,2,0,0,1,1,2,1,1,0,0,1,0,5,1,1,0,0,2,0,0,1,1,0.118,0.059,0.059,0.0,0.0,0.118,0.0,0.294,0.059,0.059,0.0,0.0,0.118,0.0,0.0,0.059,0.059,0.667,0.333,0.333,0.0,0.0,0.667,0.0,1.667,0.333,0.333,0.0,0.0,0.667,0.0,0.0,0.333,0.333,116.483,-1.58,4.62,0.0,-3.384,-4.467,0.057,0.071,0.097,1
8,4,2,6,0,0,8,2,20,4.0,10.0,2.5,3.0,0.75,2.0,0.5,23.98,27.5,33.398,2.997,3.438,11.99,13.75,4.175,16.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.414,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.414,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.707,0.0,0.0,0.707,0.0,1.0,0.0,0.0,0.707,0.707,1.0,2.828,2.0,1.0,0.0,1.0,2.828,2.0,1.0,0.0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,1,1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.125,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,139.325,-5.18,1.6,0.0,-8.5,-7.655,0.027,0.033,0.046,0
13,5,2,16,2,0,12,2,50,6.5,25.0,3.846,8.0,1.231,2.5,0.385,26.5,22.833,55.503,2.038,1.756,13.25,11.417,4.269,27.752,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.707,0.0,1.414,0.0,0.0,0.0,1.732,1.414,0.0,0.0,1.0,1.0,0.707,0.707,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.225,1.0,0.0,0.0,0.707,0.707,0.923,3.328,2.353,0.969,77.143,0.923,3.328,2.353,0.969,77.143,1,1,0,0,0,2,0,2,0,0,0,3,2,0,0,1,1,1,1,0,0,0,1,0,2,0,0,0,3,2,0,0,1,1,0.077,0.077,0.0,0.0,0.0,0.154,0.0,0.154,0.0,0.0,0.0,0.231,0.154,0.0,0.0,0.077,0.077,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.5,0.5,96.114,1.468,8.754,0.0,2.262,-0.065,0.043,0.054,0.074,0
13,5,2,16,2,0,13,3,56,4.333,18.667,4.308,5.333,1.231,1.667,0.385,48.84,41.833,52.118,3.757,3.218,16.28,13.944,4.009,17.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.414,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.414,0.0,0.0,1.414,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.414,0.0,0.707,0.707,0.0,1.0,0.0,0.0,1.0,0.707,1.0,3.606,2.55,1.0,0.0,1.0,3.606,2.55,1.0,0.0,0,2,0,0,0,0,0,4,0,1,1,0,2,0,0,2,1,0,2,0,0,0,0,0,4,0,1,1,0,2,0,0,2,1,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.308,0.0,0.077,0.077,0.0,0.154,0.0,0.0,0.154,0.077,0.0,0.667,0.0,0.0,0.0,0.0,0.0,1.333,0.0,0.333,0.333,0.0,0.667,0.0,0.0,0.667,0.333,98.314,0.623,7.887,0.0,2.698,1.026,0.043,0.054,0.074,0
