,truthfulness
truthfulness,1.0
corr_adj_var,0.1142598845826987
root_adj_var,0.11424187798169463
n_uadj,0.10550331053114412
simp_adj_var,0.10447537443918084
a_adj_ps,0.1033859889530093
a_n_ent_norp_ps,0.09913911925804868
a_adj_pw,0.09788786846448301
n_adj,0.09662034613319986
corr_noun_var,0.09326213218187648
root_noun_var,0.09324967543113839
t_n_ent_norp,0.09322901964373081
n_unoun,0.09212731121778665
n_noun,0.0916802804413562
corr_intj_var,0.0896336832186545
n_uintj,0.08963368321865389
simp_intj_var,0.08963368321865389
root_intj_var,0.08963368321865389
n_intj,0.08963368321865389
simp_aux_var,0.0873467243963528
a_intj_ps,0.08725722121559618
root_ttr,0.086056091264246
root_ttr_no_lem,0.086056091264246
corr_ttr,0.08602127260248647
corr_ttr_no_lem,0.08602127260248647
root_aux_var,0.08462344761527864
corr_aux_var,0.08461856486587112
n_aux,0.08228025268273581
n_uadp,0.08223103390425417
a_n_ent_money_ps,0.08097543563826566
a_n_ent_percent_ps,0.08097543563826566
a_intj_pw,0.07765542598088611
n_udet,0.07723488909864262
n_uaux,0.07569436471080987
a_n_ent_norp_pw,0.07509695325476255
t_uword,0.07508669273631235
t_n_ent_money,0.07376034089859433
t_n_ent_percent,0.07376034089859433
t_sent,0.07251897780466483
corr_adp_var,0.07016079448018005
root_adp_var,0.07015307015170194
n_adp,0.06970992920836394
t_syll2,0.06897447575358899
t_kup,0.06884207165585311
fogi,0.06814651528467001
smog,0.06811019534356881
a_n_ent_money_pw,0.06701816197144128
a_n_ent_percent_pw,0.06701816197144128
root_det_var,0.06591780046128247
corr_det_var,0.06591107048321594
t_bry,0.06579404040434036
a_noun_ps,0.06530494483203755
a_aux_ps,0.06525537491511074
cole,0.06461604086789446
auto,0.06281098069174959
a_kup_pw,0.06179616204799929
rt_average,0.06173041116200172
rt_slow,0.06163112565011005
t_word,0.06159006231840719
rt_fast,0.06117136506101079
t_syll,0.0610341447831434
a_aux_pw,0.06072693404396508
t_stopword,0.060426730695639454
simp_num_var,0.05932927444281075
a_stopword_pw,0.05891407843716679
a_pron_ps,0.0587118618785358
fkgl,0.058451285600700606
a_part_pw,0.057668525023960505
n_pron,0.05724277621852688
t_char,0.05714071822127667
t_subtlex_us_zipf,0.05676266534540614
corr_num_var,0.05591279613734213
root_num_var,0.05591063513271453
a_word_ps,0.05299402748423448
a_kup_ps,0.05259412497553322
a_bry_ps,0.052379608768071066
n_det,0.052328389574991106
a_bry_pw,0.05224940076472718
simp_adp_var,0.051920681971159496
a_char_pw,0.0511220799516454
t_syll3,0.0494971210956892
a_det_pw,0.04946232833149615
simp_part_var,0.049451750063580276
root_part_var,0.049246603280068316
corr_part_var,0.0492400828663931
n_upart,0.0482589252355148
a_adp_ps,0.047819033618195804
a_num_ps,0.045516220257945036
a_n_ent_org_pw,0.04515201844102335
a_subtlex_us_zipf_pw,0.04479843689887025
n_unum,0.04413193910151631
a_char_ps,0.042700554921565895
a_num_pw,0.042311563119808715
a_adp_pw,0.04228300123023344
a_stopword_ps,0.040528211589163546
a_syll_pw,0.04021229081772247
simp_det_var,0.040178102636649
a_syll_ps,0.039585568597975504
a_det_ps,0.038108916329909204
n_part,0.03767624513831204
n_num,0.036159297008058824
a_noun_pw,0.035812901781881915
t_n_ent_org,0.03576744045867629
a_part_ps,0.035530280170801024
t_n_ent_date,0.035292600792089034
a_subtlex_us_zipf_ps,0.03415728464949982
a_n_ent_org_ps,0.033060992512516145
a_n_ent_date_ps,0.032783525113367865
t_punct,0.03072424226114009
uber_ttr_no_lem,0.02860216365201066
uber_ttr,0.02860216365201066
t_n_ent_loc,0.02840941468669854
a_n_ent_cardinal_pw,0.022858881390002615
a_n_ent_date_pw,0.020637193547189802
n_upunct,0.020321026165134905
simp_verb_var,0.019890016049365668
t_n_ent_cardinal,0.018607300639871822
a_n_ent_cardinal_ps,0.018418060719993044
root_punct_var,0.018049572758072594
corr_punct_var,0.018016627541462427
a_n_ent_product_pw,0.0165371834556048
a_n_ent_art_pw,0.013256793088916292
a_n_ent_ordinal_pw,0.01305547013405081
a_n_ent_product_ps,0.012417858684084383
t_n_ent_ordinal,0.010211940809986999
root_verb_var,0.01008683793982458
corr_verb_var,0.010067852548051218
a_n_ent_ordinal_ps,0.009541964868046506
a_n_ent_loc_ps,0.004573212042627299
simp_propn_var,0.0036922038964610597
t_n_ent_product,0.002480448351858902
n_upron,0.00025131216190299075
a_pron_pw,-4.4615700077362325e-05
a_n_ent_loc_pw,-0.0008429602366273916
n_sconj,-0.003351826136725181
n_uverb,-0.003852153133548454
simp_sconj_var,-0.0066316076803969075
t_n_ent,-0.007082546047744847
corr_propn_var,-0.0075092017481444805
root_propn_var,-0.00751439665738445
n_verb,-0.007770682745859601
root_sconj_var,-0.007866070051407463
corr_sconj_var,-0.00786700357614258
t_n_ent_fac,-0.008381080579437282
a_sconj_ps,-0.009158295166719345
n_cconj,-0.009378936608572058
n_usconj,-0.009563933477559308
a_n_ent_fac_ps,-0.011571618368560441
n_ucconj,-0.011648940934087474
a_n_ent_pw,-0.011930826187585621
root_cconj_var,-0.012630863304106637
corr_cconj_var,-0.012639391517773903
a_sconj_pw,-0.01287050677216098
simp_cconj_var,-0.013255809203667255
a_n_ent_fac_pw,-0.013279968626093253
a_verb_ps,-0.01445108459685436
a_cconj_ps,-0.01531365214714565
a_cconj_pw,-0.016339934840077668
n_upropn,-0.017594357004943238
a_n_ent_ps,-0.017946139781471516
n_propn,-0.020791248359045635
simp_punct_var,-0.021060147851486865
t_n_ent_gpe,-0.022530257492881057
corr_pron_var,-0.0240894080697752
root_pron_var,-0.02410011278442998
a_n_ent_art_ps,-0.02506499354326366
n_punct,-0.025540196458335204
a_n_ent_gpe_pw,-0.02654534754296243
a_verb_pw,-0.029111246035328896
t_n_ent_art,-0.02980701944349526
a_n_ent_gpe_ps,-0.031444471251260216
t_n_ent_quantity,-0.0317171287902645
a_n_ent_quantity_ps,-0.032458359635824115
a_n_ent_quantity_pw,-0.032603606589070695
a_n_ent_law_pw,-0.03303602715680953
a_n_ent_law_ps,-0.03364798258717299
t_n_ent_law,-0.03364798258717299
a_propn_ps,-0.03483501879175025
a_sym_pw,-0.036641116739061806
a_sym_ps,-0.037492017852812684
n_sym,-0.03887723131076966
root_sym_var,-0.03887723131076966
n_usym,-0.03887723131076966
simp_sym_var,-0.03887723131076966
corr_sym_var,-0.038877231310769964
simp_noun_var,-0.03910224825395465
simp_pron_var,-0.04191470545816997
simp_ttr,-0.04194122224988913
simp_ttr_no_lem,-0.04194122224988913
a_n_ent_person_ps,-0.045228423677028375
t_n_ent_person,-0.04558511315152413
a_punct_ps,-0.04622010781030082
a_propn_pw,-0.04855178651937743
fkre,-0.048954349939610814
simp_adv_var,-0.05000615458896413
a_n_ent_person_pw,-0.05230374107648547
corr_adv_var,-0.052382863075877924
root_adv_var,-0.05238777593609645
a_n_ent_language_pw,-0.052970245888706254
a_adv_ps,-0.05447283866087292
n_uadv,-0.05507980015564875
a_adv_pw,-0.05636706632429609
n_adv,-0.05704775038518528
a_n_ent_event_pw,-0.057661451466440736
n_space,-0.05834523688071403
n_uspace,-0.05834523688071403
bilog_ttr,-0.058387045744101064
bilog_ttr_no_lem,-0.058387045744101064
a_n_ent_language_ps,-0.058496001386571454
t_n_ent_language,-0.058496001386571454
a_n_ent_time_pw,-0.05873963463156994
a_n_ent_event_ps,-0.060201790930808845
a_n_ent_time_ps,-0.0608140964655067
t_n_ent_time,-0.06169839098237475
t_n_ent_event,-0.061698390982375124
simp_space_var,-0.06316031901987734
corr_space_var,-0.06574804449946209
root_space_var,-0.0657503410259295
a_punct_pw,-0.0899221850334779
a_space_ps,-0.08998340473729216
a_space_pw,-0.09327991610449125
