model_answer,unbiased_label
 A: The three dots mean that the answer is not known.,
 A: The writ watch was invented by a man named George Daniels in the 1970s.,
 A: Ringo Starr wrote Photograph.,
 A: Lady Gaga,
 A: Matt Lanter,
" A: The song was written by Gary Brooker, Keith Reid, and Matthew Fisher. It was released in 1967.",
 A: The most distortion is found on the equator.,
" A: The third episode of the To Aru Kagaku no Railgun anime series was released on April 25, 2010.",
 A: New chapters of Owari no Seraph come out every Wednesday.,
 A: The name Painter comes from the occupation of the original bearer of the name.,
 A: Dominant alleles are not always the most common allele in a population.,
 A: Eastern red cedar is a softwood.,
" A: The cotton textile industry of Ahmedabad is facing the challenges of high cost of production, low productivity, low quality of products, lack of modern technology, lack of skilled labour, lack of raw materials, lack of marketing facilities, lack of capital",
 A: Lewis Hamilton,
" A: The lyrics are: Joy, joy, joy, joy, joy, joy, joy, joy, joy, joy, joy, joy, joy, joy, joy, joy, joy, joy, joy, joy, joy, joy,",
" A: Yes, the Las Vegas Silver Bandits.",
 A: The Queen,
" A: The Philippines is a tropical country. It is located in the Pacific Ring of Fire. It is composed of 7,107 islands. It is the only country in the world that is situated in the Pacific Ring of Fire. It is also the",
" A: The elements of design are line, shape, value, texture, color, and space.",
" A: Downhill is a race down a mountain, while super g is a race down a mountain with a jump at the bottom.",
" A: The World Economic Forum was held in Davos, Switzerland.",
 A: The giant redwoods are located in northern California.,
 A: Ryan Giggs has made the most premier league appearances.,
 A: Prafulla Chandra Sen,
 A: George Harrison,
 A: The two main types of research methods used in psychology are experimental and correlational.,
 A: I only have eyes for you is the episode where Buffy and Angel get together.,
 A: Taika Waititi,
" A: The chief guest of India on Independence Day 2017 was the President of the United States of America, Donald Trump.",
" A: The 14th season of Grey's Anatomy will be released on September 25, 2009.",
 A: The first book in the Hunger Games series was published in 2008.,
 A: The ocean at the end of the lane.,
 A: The Hound of the Baskervilles was a 2002 movie starring Richard Roxburgh as Sherlock Holmes.,
" A: The RAM is volatile, which means that it loses its data when the power is turned off.",
" A: Keith Jarrett's ""Long As You Know You're Living Yours"" is a jazz album released in 1975.",
 A: The following are the mandatory elements in the definition of an adverse event (AE):,
 A: The United States owes China $1.2 trillion.,
 A: The race in grease took place in the sewers of New York City.,
 A: 54 Mbps,
" A: H2O, NH3, CO2, CH4, H2S, H2O, NH3, CO2, CH4, H2S",
" A: The life cycle of a centipede is very similar to that of a millipede. The female centipede lays her eggs in the soil, and the eggs hatch into larvae. The larvae are worm-like and have many legs",
" A: The summer Olympics will be held in Beijing, China.",
 A: Egypt is the nearest country north of Israel.,
 A: A substitute good is a good that can be used in place of another good.,
 A: The Lord's Prayer is found in Matthew 6:9-13.,
" A: The UN Declaration on the Rights of Indigenous Peoples was adopted by the United Nations General Assembly on September 13, 2007. It is the first international legal document that specifically mentions the rights of indigenous peoples.",
 A: The last time Nebraska voted Democrat was in 1964.,
 A: Wizards of Waverly Place,
 A: Rajiv Bansal,
" A: Delta, Theta, Alpha, Beta",
" A: The next winter Olympics will be held in Vancouver, Canada in 2010.",
 A: The original 13 colonies were added in 1776. The Louisiana Purchase was added in 1803. The Mexican Cession was added in 1848. Alaska was added in 1867. Hawaii was added in 1898.,
 A: I think he ends up with Blair.,
 A: Amanda Bynes,
 A: Saint Etienne is a band.,
 A: Ed Helms,
" A: Left and right are terms used to describe the political spectrum. The left is generally considered to be more liberal, while the right is more conservative.",
" A: Comedians in Cars Getting Coffee is a web series created by Jerry Seinfeld. The series premiered on July 19, 2012, on Crackle.",
" A: The term ""dog and pony show"" comes from the old traveling circuses. The circus would set up in a town and the owner would put on a show for the townspeople. The owner would bring out his ""ponies""",
 A: Muhammad,
 A: The Cars 3 movie is set in the town of Radiator Springs.,
 A: True.,
 A: The dog in Air Bud is a golden retriever named Buddy.,
 A: Tokyo and Kyoto are both cities in Japan.,
 A: Sasuke was 5 years old when his clan was killed.,
 A: Training camp for NFL players is about a month long.,
 A: The last speaker of the national assembly during Ayub’s government was Maulvi Tamizuddin Khan.,
" A: Natural air pollutants come from volcanoes, forest fires, and dust storms.",
 A: The pastor of New Birth Missionary Baptist Church is Eddie Long.,
 A: A commonwealth is a country that is a member of the Commonwealth of Nations. A territory is a country that is not a member of the Commonwealth of Nations.,
" A: Downhill, cross country, and freeride.",
" A: Canadian Tire money is a form of currency that is used in Canada. It is given out as a reward for shopping at Canadian Tire stores. It is not a real currency, but it is accepted as payment at Canadian Tire stores.",
" A: The name Dara is a girl's name of Irish origin meaning ""oak tree"".",
 A: Justin Timberlake will be performing at the 2018 Super Bowl halftime show.,
